item_no,chapter,description,unit,rate
A2.1.1,2.0 EARTHWORK,but exceeding 1.5 m in width as well as 10 sqm on plan including disposed soil to be levelled and neatly dressed: - All Kinds of Soil,100 Sqm,7465.7
A2.2.1,2.0 EARTHWORK,"roads, flood banks, marginal banks and guide banks or filling up ground depressions, lead upto 50 m and lift upto 1.5 m. - All Kinds of soil",Cum,604.9
A2.3.1,2.0 EARTHWORK,"dressing up, in embankments for roads, flood banks, marginal banks, and guide banks etc.. lead upto 50 m and lift upto 1.5 m. - All kinds of soil",Cum,382.7
A2.4,2.0 EARTHWORK,banking excavated earth in layers not exceeding 20 cm in depth.,Cum,6.4
A2.5,2.0 EARTHWORK,Deduct for not watering the excavated earth for banking.,Cum,26.8
A2.6.1,2.0 EARTHWORK,"and disposal of excavated earth lead upto 50 m and lift upto 1.5 m, as directed by Engineer-in-Charge. - All Kinds of soil",Cum,220.9
A2.7.1,2.0 EARTHWORK,"and disposal of excavated earth lead upto 50 m and lift upto 1.5 m, as directed by Engineer-in-Charge. - Ordinary Rock",Cum,398.9
A2.7.2,2.0 EARTHWORK,"and disposal of excavated earth lead upto 50 m and lift upto 1.5 m, as directed by Engineer-in-Charge. - Hard Rock ( Requiring Blasting)",Cum,731.0
A2.7.3,2.0 EARTHWORK,"and disposal of excavated earth lead upto 50 m and lift upto 1.5 m, as directed by Engineer-in-Charge. - Hard Rock (Blasting prohibited)",Cum,761.5
A2.8.1,2.0 EARTHWORK,out the excavated soil and disposal of surplus excavated soil as directed within a lead of 50m. - All Kinds of soil,Cum,278.2
A2.9.1,2.0 EARTHWORK,out the excavated soil and disposal of surplus excavated soil as directed within a lead of 50m. - Ordinary Rock,Cum,475.5
A2.9.2,2.0 EARTHWORK,out the excavated soil and disposal of surplus excavated soil as directed within a lead of 50m. - Hard Rock ( Requiring Blasting),Cum,835.8
A2.9.3,2.0 EARTHWORK,out the excavated soil and disposal of surplus excavated soil as directed within a lead of 50m. - Hard Rock (Blasting prohibited),Cum,1101.3
A2.10.1.1,2.0 EARTHWORK,"Pipes,cables etc, not exceeding 80mm dia.",Metre,215.2
A2.11,2.0 EARTHWORK,"soil for depth exceeding 1.5 m, but not exceeding 3 m. (Rate is",Metre,126.7
A2.12,2.0 EARTHWORK,m. (Rate is over coresponding basic item for depth upto 1.5,Metre,316.0
A2.13.1.1,2.0 EARTHWORK,"Pipes, cables etc. not exceeding 80 mm dia.",Metre,315.1
A2.13.1.2,2.0 EARTHWORK,"Pipes, cables etc. exceeding 80 mm dia but not exceeding 300 - mm dia",Metre,780.3
A2.13.1.3,2.0 EARTHWORK,"Pipes, cables etc. exceeding 80 mm dia but not exceeding 300 Pipes, cables exceeding 300 mm dia but not exceeding 600mm - dia",Metre,897.9
A2.13.2.1,2.0 EARTHWORK,"Pipes, cables etc. not exceeding 80 mm dia",Metre,487.1
A2.13.2.2,2.0 EARTHWORK,"Pipes, cables etc. exceeding 80 mm dia but not exceeding 300 - mm dia",Metre,1206.0
A2.13.2.3,2.0 EARTHWORK,"Pipes, cables etc. exceeding 80 mm dia but not exceeding 300 Pipes, cables exceeding 300 mm dia but not exceeding 600mm - dia",Metre,1387.8
A2.13.3.1,2.0 EARTHWORK,"Pipes, cables etc. not exceeding 80mm dia.",Metre,612.5
A2.13.3.2,2.0 EARTHWORK,"Pipes, cables etc. exceeding 80 mm dia but not exceeding 300 - mm dia",Metre,1516.7
A2.13.3.3,2.0 EARTHWORK,"Pipes, cables etc. exceeding 80 mm dia but not exceeding 300 Pipes, cables exceeding 300 mm dia but not exceeding 600mm - dia",Metre,1745.3
A2.16.1,2.0 EARTHWORK,"Close timbering in trenches including strutting, shoring and to be taken of the face area timbered): - Depth not exceeding 1.5 m.",Sqm,117.5
A2.16.2,2.0 EARTHWORK,Depth exceeding 1.5 m but not exceeding 3 m,Sqm,126.9
